r	g	b	x	y	active
172	116	76	0.5101492893040935	0.3757235405248588	True
220	196	180	0.372654997346584	0.34660865652666545	True
196	156	132	0.4232249332332506	0.35708246764927337	True
124	84	60	0.4991091167874268	0.36751135585790645	True
49	20	16	0.6111342461728786	0.32181552745687486	True
92	52	36	0.5534968999166878	0.35247518770516373	True
148	44	36	0.6538130840052188	0.3102712730064085	True
190	194	136	0.3708014031858633	0.4155615829913688	True
76	108	108	0.3012076022946518	0.30497824823148934	True
92	148	164	0.2809325496836275	0.26494737194867385	True
164	76	60	0.5875956998248343	0.3289442310372386	True
80	32	100	0.3101445585895424	0.14227076962308818	True
36	132	36	0.4091	0.518	True
36	103	31	0.4091	0.518	True
36	76	28	0.4091	0.518	True
68	140	172	0.25935236232663383	0.2223396496990126	True
108	164	60	0.4091	0.518	True
212	108	140	0.4815532462972103	0.2768428185138335	True
244	196	164	0.42206339791495595	0.3597682981620911	True
236	124	84	0.5734731586858315	0.3472883741562995	True
132	52	52	0.595708973675116	0.3075516279527515	True
244	164	124	0.494333624643983	0.3602847812021463	True
196	76	60	0.6211795170529921	0.3201350230282578	True
116	108	180	0.24533436935874336	0.19164915124455945	True
204	84	124	0.5164872660565625	0.2666362494251372	True
100	76	180	0.2231546703356065	0.1307904087680872	True
52	36	84	0.24337394242940466	0.13959788405493875	True
84	52	124	0.26331829063649764	0.14429283008754618	True
236	99	103	0.5769642246847017	0.3053431352682796	True
164	68	132	0.44106976468941633	0.22245133682586776	True
148	124	116	0.38890139113161587	0.33978678765934617	True
227	211	191	0.3619203703824846	0.3519685761700056	True
204	164	124	0.43729781526039235	0.37714722404475937	True
160	56	160	0.3785345661976764	0.17391040630251456	True
220	36	60	0.6541361729451943	0.31041811175304096	True
222	172	118	0.4620530062745387	0.3871672849287487	True
180	196	212	0.2993007853219481	0.30121344644316883	True
224	72	84	0.6155834719273081	0.2964632115025047	True
232	72	84	0.6214657774957962	0.296659543184115	True
224	72	84	0.6155834719273081	0.2964632115025047	True
224	72	84	0.6155834719273081	0.2964632115025047	True
116	156	212	0.2549643747506517	0.21367604762830028	True
84	111	119	0.29247400621608055	0.28773471694046465	True
44	68	76	0.28066726149595433	0.2644235894054777	True
132	164	156	0.3136394213203978	0.32952351669207	True
212	180	108	0.447401636218201	0.4160473957464722	True
196	220	236	0.29914410121530577	0.3009040907927143	True
156	132	76	0.452427821775635	0.42025801024003046	True
164	156	68	0.4350648506704256	0.4676616694796998	True
108	108	60	0.40195638747963136	0.45138349117785687	True
60	76	100	0.2620907770263654	0.22774635034532276	True
68	84	100	0.27853944434531475	0.26022244691061724	True
100	116	140	0.27920775602822423	0.26154195531388336	True
148	48	136	0.40666759470599995	0.18526144609708242	True
190	87	108	0.523562663922009	0.2860293162893708	True
92	156	172	0.28041717735538574	0.26392982559221134	True
148	180	180	0.30666205545072434	0.31574747007619264	True
52	108	156	0.23597725572023878	0.17618805549059946	True
236	180	148	0.441819027153139	0.35901863969037007	True
228	132	108	0.5278542273437893	0.33982626891484236	True
244	172	100	0.5083218570389725	0.3918471997861597	True
148	124	172	0.30713503469927456	0.24301271087559834	True
108	64	116	0.34343651794475494	0.2024575475092731	True
124	44	52	0.5952433000679986	0.294859029043039	True
180	148	76	0.47098484972573335	0.42660091520615584	True
76	28	36	0.5738707903199541	0.28698216732958653	True
172	84	84	0.5450585823631026	0.3115355089711621	True
196	180	212	0.3158334726281987	0.28394013460102485	True
159	62	88	0.5407099887621107	0.2743559524984276	True
180	148	180	0.3413742233858838	0.2771939815974912	True
172	116	148	0.39315065684866274	0.2708422348739587	True
207	217	236	0.3003437993938452	0.30327276377636514	True
100	52	68	0.47286092638025556	0.2747359481732967	True
220	164	100	0.4870335139305384	0.3955061455088829	True
208	112	196	0.3838852321943112	0.21782387774434267	True
76	36	28	0.5841722634740459	0.33116494390064943	True
244	148	76	0.5583774716541985	0.37815127020332184	True
244	197	113	0.46774615024260296	0.4133515007037015	True
172	44	20	0.6738185345466496	0.32134414713022674	True
244	116	68	0.6045266365570049	0.3450347768911044	True
244	84	52	0.6498174617454265	0.32165983370771006	True
156	100	68	0.5210598271804693	0.36657249832773325	True
42	134	56	0.4091	0.518	True
164	188	156	0.3364294006718226	0.3745198410620867	True
172	196	204	0.3031487939976417	0.30881091916923886	True
132	172	132	0.343817065668076	0.38910597847724215	True
108	164	100	0.37092332392047744	0.4426243239735159	True
76	156	76	0.39461169014651154	0.489394415076549	True
156	180	84	0.3933408955002464	0.4868853698848319	True
132	76	44	0.563665886983051	0.36554918689861343	True
204	132	52	0.5540063571943344	0.3980855137376072	True
177	86	39	0.611341103519555	0.3543239767517403	True
220	204	180	0.3670325364460113	0.3578454423242646	True
100	60	36	0.5506020550499472	0.3684243845126025	True
100	140	172	0.26878729725482425	0.24096789792567525	True
178	52	52	0.6434584051905164	0.30449068949552294	True
188	104	88	0.5359857993218489	0.3335890480480833	True
188	40	104	0.5568551130382243	0.25641563361570724	True
28	84	44	0.3879697918582579	0.47628071254955506	True
72	156	156	0.29201052311767695	0.2868196201992961	True
147	144	93	0.39353735502140086	0.4256141654058882	True
124	132	220	0.23682048190126545	0.17785291346057364	True
148	140	116	0.37104100909568	0.3733657541742901	True
188	196	124	0.3762270468696087	0.43736827113764903	True
76	60	44	0.44737038627293657	0.3800109268012792	True
