r	g	b	x	y	active
84	84	116	0.26374871458622895	0.23793855366738234	True
108	132	140	0.2629404076087326	0.31445179820551294	True
124	92	148	0.3072979530595435	0.21265024569871144	True
156	204	188	0.2679078205803231	0.3605464537905117	True
44	52	84	0.20939697466078058	0.19017032641263606	True
172	124	172	0.351394265816496	0.24934424371744737	True
156	156	188	0.28869504193166307	0.27646512147573304	True
100	100	148	0.251486994100409	0.21900181804283153	True
124	132	172	0.26009646475999776	0.2527168907681498	True
76	84	124	0.23255548307111965	0.2162636165404097	True
60	68	100	0.22872905898423027	0.21655053891004514	True
180	108	208	0.3234854392549376	0.18864044219159073	True
171	195	226	0.26439336328620794	0.2867132957472757	True
108	100	140	0.27920039642351213	0.2367939257904711	True
116	156	164	0.244892147811231	0.3180478559518372	True
92	124	100	0.2778434867908234	0.4032317908161528	True
156	140	188	0.29547530966670044	0.24903990985281918	True
164	204	156	0.3036151339723283	0.4132333391150371	True
116	204	220	0.2021076415369265	0.3104628346610081	True
140	204	172	0.2561929072559097	0.39312515900076783	True
100	124	132	0.2593322287056709	0.3133821392829117	True
156	100	164	0.34564788704645777	0.217940711230226	True
212	228	156	0.3578863899115875	0.42621169863848435	True
212	140	196	0.3770248128059172	0.25129595548776856	True
156	196	196	0.26546262680967125	0.33352698803579706	True
132	180	148	0.2729463250104005	0.3979876504032681	True
140	84	164	0.31991116272721004	0.1858203026131943	True
116	140	148	0.26616886240120763	0.315387495053772	True
84	100	124	0.24503504915218524	0.2654750285372685	True
124	140	167	0.2619480590041661	0.2780025758494736	True
164	124	92	0.4597837540363584	0.37396069940774324	True
164	196	228	0.2538455214125163	0.2852675949905731	True
212	188	156	0.3912953898648631	0.3684643163694883	True
81	83	113	0.2608662036719638	0.241180842676824	True
108	140	156	0.24403913600167915	0.2987523359476699	True
140	180	196	0.24877766187309217	0.30624805009155276	True
148	236	204	0.23708406912598376	0.3881150381993512	True
212	236	244	0.2885366724353026	0.32136271067751526	True
156	100	172	0.33325698563801937	0.20744152959710446	True
220	220	132	0.394788423029216	0.4403134420831424	True
212	156	220	0.3410855978803362	0.24447761043834076	True
